HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.0211E+13,22929
VD,2.0211E+13,22904
VD,2.0211E+13,22945
VD,2.0211E+13,22921
VD,2.0211E+13,22911
VD,2.0211E+13,22915
VD,2.0211E+13,22863
VD,2.0211E+13,23102
VD,2.0211E+13,23177
VD,2.0211E+13,23210
VD,2.0211E+13,23186
VD,2.0211E+13,23170
VD,2.0211E+13,23152
VD,2.0211E+13,23119
VD,2.0211E+13,23011
VD,2.0211E+13,22901
VD,2.0211E+13,22800
VD,2.0211E+13,22698
VD,2.0211E+13,22644
VD,2.0211E+13,22633
VD,2.0211E+13,22548
VD,2.0211E+13,22394
VD,2.0211E+13,22482
VD,2.0211E+13,22420
VD,2.0211E+13,22251
VD,2.0211E+13,22273
VD,2.0211E+13,22200
VD,2.0211E+13,22130
VD,2.0211E+13,22094
VD,2.0211E+13,22066
VD,2.0211E+13,22002
VD,2.0211E+13,21963
VD,2.0211E+13,21969
VD,2.0211E+13,21934
VD,2.0211E+13,21911
VD,2.0211E+13,21872
VD,2.0211E+13,21866
VD,2.0211E+13,21835
VD,2.0211E+13,21688
VD,2.0211E+13,21663
VD,2.0211E+13,21659
VD,2.0211E+13,21639
VD,2.0211E+13,21755
VD,2.0211E+13,21869
VD,2.0211E+13,21873
VD,2.0211E+13,21881
VD,2.0211E+13,21867
VD,2.0211E+13,21960
VD,2.0211E+13,22078
VD,2.0211E+13,22067
VD,2.0211E+13,22005
VD,2.0211E+13,21921
VD,2.0211E+13,21878
VD,2.0211E+13,21821
VD,2.0211E+13,21673
VD,2.0211E+13,21974
VD,2.0211E+13,22342
VD,2.0211E+13,22661
VD,2.0211E+13,22975
VD,2.0211E+13,23273
VD,2.0211E+13,23361
VD,2.0211E+13,24088
VD,2.0211E+13,25224
VD,2.0211E+13,25490
VD,2.0211E+13,25735
VD,2.0211E+13,26203
VD,2.0211E+13,26553
VD,2.0211E+13,26967
VD,2.0211E+13,27448
VD,2.0211E+13,27920
VD,2.0211E+13,28239
VD,2.0211E+13,28539
VD,2.0211E+13,28733
VD,2.0211E+13,28869
VD,2.0211E+13,29589
VD,2.0211E+13,29990
VD,2.0211E+13,30314
VD,2.0211E+13,30462
VD,2.0211E+13,30503
VD,2.0211E+13,30565
VD,2.0211E+13,30780
VD,2.0211E+13,31030
VD,2.0211E+13,31197
VD,2.0211E+13,31378
VD,2.0211E+13,31559
VD,2.0211E+13,31972
VD,2.0211E+13,32418
VD,2.0211E+13,32468
VD,2.0211E+13,32508
VD,2.0211E+13,32420
VD,2.0211E+13,32344
VD,2.0211E+13,32307
VD,2.0211E+13,32281
VD,2.0211E+13,32294
VD,2.0211E+13,32284
VD,2.0211E+13,32277
VD,2.0211E+13,32399
VD,2.0211E+13,32611
VD,2.0211E+13,32769
VD,2.0211E+13,32791
VD,2.0211E+13,32709
VD,2.0211E+13,32708
VD,2.0211E+13,32767
VD,2.0211E+13,32783
VD,2.0211E+13,32749
VD,2.0211E+13,32581
VD,2.0211E+13,32548
VD,2.0211E+13,32503
VD,2.0211E+13,32452
VD,2.0211E+13,32387
VD,2.0211E+13,32388
VD,2.0211E+13,32348
VD,2.0211E+13,32302
VD,2.0211E+13,32197
VD,2.0211E+13,32137
VD,2.0211E+13,32143
VD,2.0211E+13,32113
VD,2.0211E+13,32073
VD,2.0211E+13,32083
VD,2.0211E+13,32068
VD,2.0211E+13,32072
VD,2.0211E+13,32051
VD,2.0211E+13,32081
VD,2.0211E+13,32144
VD,2.0211E+13,32094
VD,2.0211E+13,32038
VD,2.0211E+13,32049
VD,2.0211E+13,32033
VD,2.0211E+13,31909
VD,2.0211E+13,31877
VD,2.0211E+13,31876
VD,2.0211E+13,31792
VD,2.0211E+13,31830
VD,2.0211E+13,31886
VD,2.0211E+13,31940
VD,2.0211E+13,31909
VD,2.0211E+13,31944
VD,2.0211E+13,31842
VD,2.0211E+13,31781
VD,2.0211E+13,31745
VD,2.0211E+13,31520
VD,2.0211E+13,31394
VD,2.0211E+13,31395
VD,2.0211E+13,31370
VD,2.0211E+13,31433
VD,2.0211E+13,31379
VD,2.0211E+13,31289
VD,2.0211E+13,31288
VD,2.0211E+13,31231
VD,2.0211E+13,31168
VD,2.0211E+13,31140
VD,2.0211E+13,31069
VD,2.0211E+13,30962
VD,2.0211E+13,30987
VD,2.0211E+13,31018
VD,2.0211E+13,30978
VD,2.0211E+13,30992
VD,2.0211E+13,31013
VD,2.0211E+13,30988
VD,2.0211E+13,30981
VD,2.0211E+13,31008
VD,2.0211E+13,31068
VD,2.0211E+13,31034
VD,2.0211E+13,30991
VD,2.0211E+13,30979
VD,2.0211E+13,30968
VD,2.0211E+13,31008
VD,2.0211E+13,31016
VD,2.0211E+13,30983
VD,2.0211E+13,31216
VD,2.0211E+13,31291
VD,2.0211E+13,31370
VD,2.0211E+13,31460
VD,2.0211E+13,31544
VD,2.0211E+13,31582
VD,2.0211E+13,31720
VD,2.0211E+13,31790
VD,2.0211E+13,31897
VD,2.0211E+13,32003
VD,2.0211E+13,32148
VD,2.0211E+13,32244
VD,2.0211E+13,32520
VD,2.0211E+13,32706
VD,2.0211E+13,32811
VD,2.0211E+13,32990
VD,2.0211E+13,33148
VD,2.0211E+13,33180
VD,2.0211E+13,33204
VD,2.0211E+13,33313
VD,2.0211E+13,33499
VD,2.0211E+13,33722
VD,2.0211E+13,33823
VD,2.0211E+13,33991
VD,2.0211E+13,34425
VD,2.0211E+13,34633
VD,2.0211E+13,34718
VD,2.0211E+13,34922
VD,2.0211E+13,35110
VD,2.0211E+13,35174
VD,2.0211E+13,35268
VD,2.0211E+13,35256
VD,2.0211E+13,35430
VD,2.0211E+13,35528
VD,2.0211E+13,35610
VD,2.0211E+13,35594
VD,2.0211E+13,35656
VD,2.0211E+13,35698
VD,2.0211E+13,35756
VD,2.0211E+13,35850
VD,2.0211E+13,35879
VD,2.0211E+13,35965
VD,2.0211E+13,36168
VD,2.0211E+13,36364
VD,2.0211E+13,36412
VD,2.0211E+13,36517
VD,2.0211E+13,36416
VD,2.0211E+13,36234
VD,2.0211E+13,36263
VD,2.0211E+13,36148
VD,2.0211E+13,36059
VD,2.0211E+13,35987
VD,2.0211E+13,35803
VD,2.0211E+13,35559
VD,2.0211E+13,35436
VD,2.0211E+13,35181
VD,2.0211E+13,34945
VD,2.0211E+13,34687
VD,2.0211E+13,34442
VD,2.0211E+13,34252
VD,2.0211E+13,34278
VD,2.0211E+13,34071
VD,2.0211E+13,33863
VD,2.0211E+13,33553
VD,2.0211E+13,33179
VD,2.0211E+13,32859
VD,2.0211E+13,32710
VD,2.0211E+13,32445
VD,2.0211E+13,32223
VD,2.0211E+13,32065
VD,2.0211E+13,31861
VD,2.0211E+13,31758
VD,2.0211E+13,31665
VD,2.0211E+13,31393
VD,2.0211E+13,31124
VD,2.0211E+13,30706
VD,2.0211E+13,30455
VD,2.0211E+13,30093
VD,2.0211E+13,29819
VD,2.0211E+13,29579
