HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.0211E+13,20565
VD,2.0211E+13,20904
VD,2.0211E+13,20985
VD,2.0211E+13,20863
VD,2.0211E+13,20730
VD,2.0211E+13,20654
VD,2.0211E+13,20573
VD,2.0211E+13,20778
VD,2.0211E+13,20859
VD,2.0211E+13,20857
VD,2.0211E+13,20808
VD,2.0211E+13,20756
VD,2.0211E+13,20681
VD,2.0211E+13,20910
VD,2.0211E+13,20880
VD,2.0211E+13,20945
VD,2.0211E+13,20904
VD,2.0211E+13,20903
VD,2.0211E+13,20867
VD,2.0211E+13,20812
VD,2.0211E+13,20733
VD,2.0211E+13,20608
VD,2.0211E+13,20509
VD,2.0211E+13,20467
VD,2.0211E+13,20432
VD,2.0211E+13,20695
VD,2.0211E+13,20694
VD,2.0211E+13,20576
VD,2.0211E+13,20474
VD,2.0211E+13,20442
VD,2.0211E+13,20456
VD,2.0211E+13,20565
VD,2.0211E+13,20584
VD,2.0211E+13,20613
VD,2.0211E+13,20604
VD,2.0211E+13,20528
VD,2.0211E+13,20511
VD,2.0211E+13,20473
VD,2.0211E+13,20557
VD,2.0211E+13,20688
VD,2.0211E+13,20723
VD,2.0211E+13,20748
VD,2.0211E+13,20761
VD,2.0211E+13,20773
VD,2.0211E+13,20802
VD,2.0211E+13,20882
VD,2.0211E+13,20877
VD,2.0211E+13,20809
VD,2.0211E+13,20799
VD,2.0211E+13,20807
VD,2.0211E+13,20789
VD,2.0211E+13,20803
VD,2.0211E+13,20920
VD,2.0211E+13,20990
VD,2.0211E+13,21075
VD,2.0211E+13,21119
VD,2.0211E+13,21092
VD,2.0211E+13,21162
VD,2.0211E+13,21146
VD,2.0211E+13,21294
VD,2.0211E+13,21356
VD,2.0211E+13,21769
VD,2.0211E+13,22372
VD,2.0211E+13,22759
VD,2.0211E+13,23088
VD,2.0211E+13,23377
VD,2.0211E+13,23739
VD,2.0211E+13,24322
VD,2.0211E+13,24671
VD,2.0211E+13,25027
VD,2.0211E+13,25458
VD,2.0211E+13,25864
VD,2.0211E+13,26258
VD,2.0211E+13,26724
VD,2.0211E+13,27248
VD,2.0211E+13,27715
VD,2.0211E+13,28064
VD,2.0211E+13,28358
VD,2.0211E+13,28552
VD,2.0211E+13,28683
VD,2.0211E+13,28915
VD,2.0211E+13,29167
VD,2.0211E+13,29420
VD,2.0211E+13,29683
VD,2.0211E+13,29793
VD,2.0211E+13,30062
VD,2.0211E+13,30329
VD,2.0211E+13,30421
VD,2.0211E+13,30504
VD,2.0211E+13,30563
VD,2.0211E+13,30512
VD,2.0211E+13,30356
VD,2.0211E+13,30253
VD,2.0211E+13,30168
VD,2.0211E+13,30211
VD,2.0211E+13,30237
VD,2.0211E+13,30315
VD,2.0211E+13,30430
VD,2.0211E+13,30626
VD,2.0211E+13,30611
VD,2.0211E+13,30504
VD,2.0211E+13,30483
VD,2.0211E+13,30351
VD,2.0211E+13,30264
VD,2.0211E+13,30059
VD,2.0211E+13,29931
VD,2.0211E+13,29893
VD,2.0211E+13,29916
VD,2.0211E+13,29890
VD,2.0211E+13,30033
VD,2.0211E+13,29981
VD,2.0211E+13,29913
VD,2.0211E+13,29776
VD,2.0211E+13,29628
VD,2.0211E+13,29454
VD,2.0211E+13,29420
VD,2.0211E+13,29368
VD,2.0211E+13,29287
VD,2.0211E+13,29090
VD,2.0211E+13,29045
VD,2.0211E+13,28985
VD,2.0211E+13,28888
VD,2.0211E+13,28875
VD,2.0211E+13,28798
VD,2.0211E+13,28763
VD,2.0211E+13,28652
VD,2.0211E+13,28441
VD,2.0211E+13,28334
VD,2.0211E+13,28095
VD,2.0211E+13,28082
VD,2.0211E+13,28095
VD,2.0211E+13,28110
VD,2.0211E+13,28027
VD,2.0211E+13,27997
VD,2.0211E+13,27969
VD,2.0211E+13,27835
VD,2.0211E+13,27753
VD,2.0211E+13,27717
VD,2.0211E+13,27595
VD,2.0211E+13,27481
VD,2.0211E+13,27287
VD,2.0211E+13,27149
VD,2.0211E+13,26969
VD,2.0211E+13,26808
VD,2.0211E+13,26607
VD,2.0211E+13,26566
VD,2.0211E+13,26628
VD,2.0211E+13,26571
VD,2.0211E+13,26509
VD,2.0211E+13,26525
VD,2.0211E+13,26370
VD,2.0211E+13,26221
VD,2.0211E+13,26010
VD,2.0211E+13,25953
VD,2.0211E+13,25973
VD,2.0211E+13,25781
VD,2.0211E+13,25745
VD,2.0211E+13,25703
VD,2.0211E+13,25570
VD,2.0211E+13,25468
VD,2.0211E+13,25397
VD,2.0211E+13,25434
VD,2.0211E+13,25331
VD,2.0211E+13,25272
VD,2.0211E+13,25174
VD,2.0211E+13,25126
VD,2.0211E+13,25095
VD,2.0211E+13,24943
VD,2.0211E+13,24871
VD,2.0211E+13,25008
VD,2.0211E+13,24990
VD,2.0211E+13,24967
VD,2.0211E+13,24967
VD,2.0211E+13,24912
VD,2.0211E+13,24901
VD,2.0211E+13,24941
VD,2.0211E+13,25089
VD,2.0211E+13,25344
VD,2.0211E+13,25473
VD,2.0211E+13,25557
VD,2.0211E+13,25743
VD,2.0211E+13,25883
VD,2.0211E+13,26053
VD,2.0211E+13,26275
VD,2.0211E+13,26484
VD,2.0211E+13,26822
VD,2.0211E+13,26972
VD,2.0211E+13,27288
VD,2.0211E+13,27603
VD,2.0211E+13,27912
VD,2.0211E+13,28227
VD,2.0211E+13,28459
VD,2.0211E+13,28682
VD,2.0211E+13,28889
VD,2.0211E+13,29047
VD,2.0211E+13,29354
VD,2.0211E+13,29822
VD,2.0211E+13,30022
VD,2.0211E+13,30069
VD,2.0211E+13,30091
VD,2.0211E+13,30172
VD,2.0211E+13,30473
VD,2.0211E+13,30753
VD,2.0211E+13,30855
VD,2.0211E+13,30984
VD,2.0211E+13,31131
VD,2.0211E+13,31294
VD,2.0211E+13,31292
VD,2.0211E+13,31375
VD,2.0211E+13,31417
VD,2.0211E+13,31519
VD,2.0211E+13,31660
VD,2.0211E+13,31930
VD,2.0211E+13,32083
VD,2.0211E+13,32207
VD,2.0211E+13,32308
VD,2.0211E+13,32225
VD,2.0211E+13,32276
VD,2.0211E+13,32401
VD,2.0211E+13,32491
VD,2.0211E+13,32551
VD,2.0211E+13,32438
VD,2.0211E+13,32359
VD,2.0211E+13,32259
VD,2.0211E+13,32029
VD,2.0211E+13,32017
VD,2.0211E+13,32042
VD,2.0211E+13,31916
VD,2.0211E+13,31676
VD,2.0211E+13,31847
VD,2.0211E+13,31751
VD,2.0211E+13,31446
VD,2.0211E+13,31145
VD,2.0211E+13,31033
VD,2.0211E+13,30724
VD,2.0211E+13,30632
VD,2.0211E+13,30576
VD,2.0211E+13,30554
VD,2.0211E+13,30534
VD,2.0211E+13,30317
VD,2.0211E+13,30190
VD,2.0211E+13,30111
VD,2.0211E+13,29896
VD,2.0211E+13,29652
VD,2.0211E+13,29345
VD,2.0211E+13,29074
