donor_id,donation_amount,donation_date,account_type,donation_source
0014T000008TpJO,25,2021-06-22,Core,Email
0014T00000D3ZEf,15.45,2021-10-09,Core,Website
0014T000004kHa9,20,2021-03-08,Core,Email
0014T00000OzkXz,25.75,2022-05-21,Core,Website
0014T00000Irt8o,12,2022-04-11,Core,Ads
0014T00000DPI2n,15,2021-09-16,Core,Email
0014T000004yHI8,20,2021-04-01,Core,Website
0014T000006ud4p,51.5,2021-11-25,Core,Website
0014T000004xP4F,50,2021-02-28,Core,Email
0014T000008TpJO,25,2021-07-22,Core,Email
0014T00000OzE8o,51.5,2021-12-13,Core,Ads
0014T00000D3ZEf,15.45,2021-11-09,Core,Website
0014T000004kHa9,20,2021-04-08,Core,Email
0014T00000N7nEa,25.75,2022-04-01,Core,Website
0014T00000QdOlz,36.05,2022-05-17,Core,Ads
0014T00000OzkXw,10,2022-05-21,Core,Ads
0014T00000Irt8o,12,2022-05-11,Core,Ads
0014T00000DPI2n,15,2021-10-16,Core,Email
0014T000004yHI8,20,2021-05-01,Core,Website
0014T000004xP4F,50,2021-03-28,Core,Email
0014T000008TpJO,25,2021-08-22,Core,Email
0014T00000N8FL9,103,2022-03-04,Core,Website
0014T00000D3ZEf,15.45,2021-12-09,Core,Website
0014T000004kHa9,20,2021-05-08,Core,Email
0014T00000N9CgO,25,2022-05-17,Core,Website
0014T00000IsNhb,25.75,2022-05-12,Core,Website
0014T00000DPI2n,15,2021-11-16,Core,Email
0014T000004yHI8,20,2021-06-01,Core,Website
0014T000004xP4F,50,2021-04-28,Core,Email
0014T000008TpJO,25,2021-09-22,Core,Email
0014T00000N8FLF,15.45,2022-03-04,Core,Website
0014T00000D3ZEf,15.45,2022-01-09,Core,Website
0014T00000SAPF4,25.75,2022-04-12,Core,Ads
0014T00000OzkXu,20,2022-05-21,Core,Website
0014T00000DPI2n,15,2021-12-16,Core,Email
0014T00000N8GZZ,15,2022-05-04,Core,Website
0014T000004xP4F,50,2021-05-28,Core,Email
0014T000008TpJO,25,2021-10-22,Core,Email
0014T00000D3ZEf,15.45,2022-02-09,Core,Website
0014T00000N8F69,25.75,2022-05-04,Core,Website
0014T000004xP4F,50,2021-06-28,Core,Email
0014T00000D3ZEf,15.45,2022-03-09,Core,Website
0014T000004xP4F,50,2021-07-28,Core,Email
0014T00000N8FLA,100,2022-03-04,Core,Website
0014T00000N7m6S,15.45,2022-05-01,Core,Website
0014T000004xP4F,50,2021-08-28,Core,Email
0014T00000AoHbd,103,2021-01-30,Mid-Level,Website
0014T000004xP4F,50,2021-09-28,Core,Email
0014T00000QcT5t,103,2022-05-04,Core,Ads
0014T000004xP4F,50,2021-10-28,Core,Email
0014T00000P2BWK,5.72,2022-02-28,Core,Email
0014T00000P2BWK,5.72,2022-01-31,Core,Email
0014T00000N7m6v,25.75,2022-05-01,Core,Website
0014T00000N7lyV,25.75,2022-03-01,Core,Website
0014T00000Ao4NP,5,2021-01-30,Core,Ads
0014T00000N7mHy,100,2021-11-01,Core,Website
0014T00000Ao4NP,5,2021-02-28,Core,Ads
0014T00000OMk2e,50,2021-12-30,Mid-Level,Website
0014T00000Gzoy5,51.5,2021-05-12,Core,Ads
0014T00000DPI2n,15,2021-01-16,Core,Email
0014T00000N7n8h,25.75,2022-02-01,Core,Website
0014T00000Gzoy5,51.5,2021-06-12,Core,Ads
0014T00000DPI2n,15,2021-02-16,Core,Email
0014T000004yKMf,50,2021-01-24,Core,Email
0014T00000HovLA,25.75,2021-08-13,Core,Email
0014T00000DPI2n,15,2021-03-16,Core,Email
0014T000004yKMf,50,2021-02-24,Core,Email
0014T00000HovLA,25.75,2021-09-13,Core,Email
0014T00000DPI2n,15,2021-04-16,Core,Email
0014T00000HovLA,25.75,2021-10-13,Core,Email
0014T00000DPI2n,15,2021-05-16,Core,Email
0014T00000DGNdv,50,2021-12-27,Core,Direct Mail
0014T00000HovLA,25.75,2021-11-13,Core,Email
0014T00000DPI2n,15,2021-06-16,Core,Email
0014T000004kKYO,15,2021-12-19,Core,Email
0014T00000DGNdv,50,2022-01-27,Core,Direct Mail
0014T00000EFBNM,25,2022-04-22,Core,Website
0014T000004kItf,25,2021-08-14,Core,Ads
0014T00000HovLA,25.75,2021-12-13,Core,Email
0014T000004xCpF,15,2021-02-24,Core,Website
0014T00000Qd1pE,12,2022-04-13,Core,Ads
0014T00000EFBNM,25,2022-05-22,Core,Website
0014T00000N7lh0,20.6,2022-05-01,Core,Website
0014T00000HovLA,25.75,2022-01-13,Core,Email
0014T000004xCpF,15,2021-03-24,Core,Website
0014T00000EFBNM,25,2021-06-22,Core,Website
0014T00000D3dBq,25.75,2022-05-09,Core,Website
0014T00000MLXBj,41.2,2022-05-22,Core,Website
0014T00000HovLA,25.75,2022-02-13,Core,Email
0014T00000AmVMl,15.45,2022-01-16,Core,Email
0014T000004yEA4,25,2021-03-06,Core,Website
0014T000004xCpF,15,2021-04-24,Core,Website
0014T00000DG7yD,25.75,2021-05-26,Core,Ads
0014T00000HovLA,25.75,2022-03-13,Core,Email
0014T00000AmVMl,15.45,2022-02-16,Core,Email
0014T000004yEA4,25,2022-02-06,Core,Website
0014T000004xCpF,15,2021-05-24,Core,Website
0014T000004kKYO,15,2022-01-19,Core,Email
0014T00000DG7yD,25.75,2021-06-26,Core,Ads
0014T00000G9A1T,25,2021-07-11,Core,Website
0014T00000AmVMl,15.45,2022-03-16,Core,Email
0014T000004xCpF,15,2021-06-24,Core,Website
0014T000004kKYO,15,2022-02-19,Core,Email
0014T00000DG7yD,25.75,2021-07-26,Core,Ads
0014T00000G9A1T,25,2021-08-11,Core,Website
0014T00000AmVMl,15.45,2022-04-16,Core,Email
0014T000004xCpF,15,2021-07-24,Core,Website
0014T000004kKYO,15,2022-03-19,Core,Email
0014T00000P0Bns,25.75,2022-02-28,Core,Ads
0014T00000DG7yD,25.75,2021-08-26,Core,Ads
0014T00000G9A1T,25,2021-09-11,Core,Website
0014T00000AmVMl,15.45,2022-05-16,Core,Email
0014T000004xCpF,15,2021-08-24,Core,Website
0014T000004kKYO,15,2022-04-19,Core,Email
0014T00000Ef0Xg,12,2021-01-12,Core,Ads
0014T000004yM4S,25,2022-02-19,Core,Website
0014T00000DG7yD,25.75,2021-09-26,Core,Ads
0014T00000G9A1T,25,2021-10-11,Core,Website
0014T000004xBNi,11,2021-09-16,Core,Website
0014T000008TtHe,10.3,2021-11-06,Core,Website
0014T000004xCpF,15,2021-09-24,Core,Website
0014T00000Ef0Xg,12,2021-02-12,Core,Ads
0014T00000DG7yD,25.75,2021-10-26,Core,Ads
0014T000008Tiel,12,2022-05-18,Core,Ads
0014T00000G9A1T,25,2021-11-11,Core,Website
0014T000004xBNi,11,2021-10-16,Core,Website
0014T000004xCpF,15,2021-10-24,Core,Website
0014T000008TpZ1,25.75,2021-01-22,Core,Website
0014T00000DG7yD,25.75,2021-11-26,Core,Ads
0014T00000Ozr6I,25.75,2022-05-23,Core,Website
0014T00000G9A1T,25,2021-12-11,Core,Website
0014T000004xCpF,15,2021-11-24,Core,Website
0014T000004kItf,25,2021-01-26,Core,Ads
0014T000008TpZ1,25.75,2021-02-22,Core,Website
0014T00000G9A1T,25,2022-01-11,Core,Website
0014T000004xCpF,15,2021-12-24,Core,Website
0014T000004kItf,25,2021-02-26,Core,Ads
0014T000008TpZ1,25.75,2021-03-22,Core,Website
0014T00000N7lhp,51.5,2022-02-01,Core,Website
0014T00000PslB7,25,2022-04-22,Core,Website
0014T00000G9A1T,25,2022-02-11,Core,Website
0014T000004xCpF,15,2022-01-24,Core,Website
0014T000004kItf,25,2021-03-26,Core,Ads
0014T000008TpZ1,25.75,2021-04-22,Core,Website
0014T00000PslB9,75,2022-04-22,Core,Website
0014T00000SB2WJ,103,2022-04-19,Core,Ads
0014T000004yN9n,25.75,2021-06-11,Core,Website
0014T000004kItf,25,2021-04-26,Core,Ads
0014T000008TpZ1,25.75,2021-05-22,Core,Website
0014T000008Tcrt,12,2021-02-06,Core,Ads
0014T000004kItf,25,2021-05-26,Core,Ads
0014T000008TpZ1,25.75,2021-06-22,Core,Website
0014T00000QeDjW,75,2022-04-25,Core,Ads
0014T00000Gzoy5,51.5,2021-08-12,Core,Ads
0014T000004kItf,25,2021-06-26,Core,Ads
0014T000008TpZ1,25.75,2021-07-22,Core,Website
