HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.02109E+13,30744
VD,2.02109E+13,30571
VD,2.02109E+13,30345
VD,2.02109E+13,30340
VD,2.02109E+13,30333
VD,2.02109E+13,30211
VD,2.02109E+13,30011
VD,2.02109E+13,29749
VD,2.02109E+13,29525
VD,2.02109E+13,29366
VD,2.02109E+13,29204
VD,2.02109E+13,28985
VD,2.02109E+13,28748
VD,2.02109E+13,28582
VD,2.02109E+13,28429
VD,2.02109E+13,28201
VD,2.02109E+13,28108
VD,2.02109E+13,27924
VD,2.02109E+13,27804
VD,2.02109E+13,27717
VD,2.02109E+13,27686
VD,2.02109E+13,27500
VD,2.02109E+13,27304
VD,2.02109E+13,27084
VD,2.02109E+13,26995
VD,2.02109E+13,26839
VD,2.02109E+13,26583
VD,2.02109E+13,26598
VD,2.02109E+13,26422
VD,2.02109E+13,26250
VD,2.02109E+13,26066
VD,2.02109E+13,25643
VD,2.02109E+13,25374
VD,2.02109E+13,25211
VD,2.02109E+13,24995
VD,2.02109E+13,24805
VD,2.02109E+13,24575
VD,2.02109E+13,24312
VD,2.02109E+13,24012
VD,2.02109E+13,23938
VD,2.02109E+13,23778
VD,2.02109E+13,23544
VD,2.02109E+13,23342
VD,2.02109E+13,23106
VD,2.02109E+13,22941
VD,2.02109E+13,22798
VD,2.02109E+13,22686
VD,2.02109E+13,22486
VD,2.02109E+13,22320
VD,2.02109E+13,22185
VD,2.02109E+13,22074
VD,2.02109E+13,21925
VD,2.02109E+13,21812
VD,2.02109E+13,21613
VD,2.02109E+13,21472
VD,2.02109E+13,21374
VD,2.02109E+13,21272
VD,2.02109E+13,21257
VD,2.02109E+13,21127
VD,2.02109E+13,20986
VD,2.02109E+13,20854
VD,2.02109E+13,20772
VD,2.02109E+13,20661
VD,2.02109E+13,20485
VD,2.02109E+13,20423
VD,2.02109E+13,20356
VD,2.02109E+13,20178
VD,2.02109E+13,20077
VD,2.02109E+13,20024
VD,2.02109E+13,20114
VD,2.02109E+13,20088
VD,2.02109E+13,20092
VD,2.02109E+13,20071
VD,2.02109E+13,20015
VD,2.02109E+13,20047
VD,2.02109E+13,20006
VD,2.02109E+13,19944
VD,2.02109E+13,19926
VD,2.02109E+13,19919
VD,2.02109E+13,20004
VD,2.02109E+13,19857
VD,2.02109E+13,19823
VD,2.02109E+13,19766
VD,2.02109E+13,19718
VD,2.02109E+13,19818
VD,2.02109E+13,19765
VD,2.02109E+13,19756
VD,2.02109E+13,19797
VD,2.02109E+13,19800
VD,2.02109E+13,19752
VD,2.02109E+13,19728
VD,2.02109E+13,19698
VD,2.02109E+13,19676
VD,2.02109E+13,19743
VD,2.02109E+13,19738
VD,2.02109E+13,19817
VD,2.02109E+13,19873
VD,2.02109E+13,19788
VD,2.02109E+13,19741
VD,2.02109E+13,19794
VD,2.02109E+13,19720
VD,2.02109E+13,19646
VD,2.02109E+13,19588
VD,2.02109E+13,19544
VD,2.02109E+13,19576
VD,2.02109E+13,19598
VD,2.02109E+13,19558
VD,2.02109E+13,19422
VD,2.02109E+13,19451
VD,2.02109E+13,19450
VD,2.02109E+13,19444
VD,2.02109E+13,19504
VD,2.02109E+13,19545
VD,2.02109E+13,19569
VD,2.02109E+13,19573
VD,2.02109E+13,19601
VD,2.02109E+13,19605
VD,2.02109E+13,19669
VD,2.02109E+13,19666
VD,2.02109E+13,19711
VD,2.02109E+13,19709
VD,2.02109E+13,19647
VD,2.02109E+13,19709
VD,2.02109E+13,19936
VD,2.02109E+13,20000
VD,2.02109E+13,20023
VD,2.02109E+13,20142
VD,2.02109E+13,20237
VD,2.02109E+13,20320
VD,2.02109E+13,20560
VD,2.02109E+13,20632
VD,2.02109E+13,20650
VD,2.02109E+13,20673
VD,2.02109E+13,20730
VD,2.02109E+13,20786
VD,2.02109E+13,20883
VD,2.02109E+13,21038
VD,2.02109E+13,21125
VD,2.02109E+13,21232
VD,2.02109E+13,21399
VD,2.02109E+13,21527
VD,2.02109E+13,21851
VD,2.02109E+13,22060
VD,2.02109E+13,22228
VD,2.02109E+13,22422
VD,2.02109E+13,22568
VD,2.02109E+13,22765
VD,2.02109E+13,23032
VD,2.02109E+13,23344
VD,2.02109E+13,23514
VD,2.02109E+13,23697
VD,2.02109E+13,23904
VD,2.02109E+13,24048
VD,2.02109E+13,24225
VD,2.02109E+13,24313
VD,2.02109E+13,24359
VD,2.02109E+13,24402
VD,2.02109E+13,24454
VD,2.02109E+13,24465
VD,2.02109E+13,24686
VD,2.02109E+13,24936
VD,2.02109E+13,25096
VD,2.02109E+13,25207
VD,2.02109E+13,25311
VD,2.02109E+13,25428
VD,2.02109E+13,25507
VD,2.02109E+13,25525
VD,2.02109E+13,25554
VD,2.02109E+13,25616
VD,2.02109E+13,25654
VD,2.02109E+13,25647
VD,2.02109E+13,25720
VD,2.02109E+13,25760
VD,2.02109E+13,25701
VD,2.02109E+13,25684
VD,2.02109E+13,25592
VD,2.02109E+13,25491
VD,2.02109E+13,25471
VD,2.02109E+13,25424
VD,2.02109E+13,25462
VD,2.02109E+13,25432
VD,2.02109E+13,25413
VD,2.02109E+13,25327
VD,2.02109E+13,25277
VD,2.02109E+13,25265
VD,2.02109E+13,25097
VD,2.02109E+13,24870
VD,2.02109E+13,24780
VD,2.02109E+13,24697
VD,2.02109E+13,24714
VD,2.02109E+13,24646
VD,2.02109E+13,24571
VD,2.02109E+13,24476
VD,2.02109E+13,24411
VD,2.02109E+13,24441
VD,2.02109E+13,24357
VD,2.02109E+13,24293
VD,2.02109E+13,24258
VD,2.02109E+13,24320
VD,2.02109E+13,24309
VD,2.02109E+13,24266
VD,2.02109E+13,24202
VD,2.02109E+13,24062
VD,2.02109E+13,23930
VD,2.02109E+13,23823
VD,2.02109E+13,23749
VD,2.02109E+13,23685
VD,2.02109E+13,23659
VD,2.02109E+13,23496
VD,2.02109E+13,23387
VD,2.02109E+13,23452
VD,2.02109E+13,23377
VD,2.02109E+13,23217
VD,2.02109E+13,23072
VD,2.02109E+13,22983
VD,2.02109E+13,22936
VD,2.02109E+13,22939
VD,2.02109E+13,23026
VD,2.02109E+13,22986
VD,2.02109E+13,23058
VD,2.02109E+13,23205
VD,2.02109E+13,23334
VD,2.02109E+13,23477
VD,2.02109E+13,23513
VD,2.02109E+13,23509
VD,2.02109E+13,23506
VD,2.02109E+13,23493
VD,2.02109E+13,23557
VD,2.02109E+13,23590
VD,2.02109E+13,23690
VD,2.02109E+13,23829
VD,2.02109E+13,24149
VD,2.02109E+13,24461
VD,2.02109E+13,24509
VD,2.02109E+13,24578
VD,2.02109E+13,24735
VD,2.02109E+13,24843
VD,2.02109E+13,24958
VD,2.02109E+13,25054
VD,2.02109E+13,25069
VD,2.02109E+13,25159
VD,2.02109E+13,25254
VD,2.02109E+13,25471
VD,2.02109E+13,25629
VD,2.02109E+13,25989
VD,2.02109E+13,26204
VD,2.02109E+13,26344
VD,2.02109E+13,26615
VD,2.02109E+13,26783
VD,2.02109E+13,27044
VD,2.02109E+13,27268
VD,2.02109E+13,27397
VD,2.02109E+13,27500
VD,2.02109E+13,27769
VD,2.02109E+13,28123
VD,2.02109E+13,28395
VD,2.02109E+13,28587
VD,2.02109E+13,28778
VD,2.02109E+13,29039
VD,2.02109E+13,29294
VD,2.02109E+13,29429
VD,2.02109E+13,29502
VD,2.02109E+13,29531
VD,2.02109E+13,29506
VD,2.02109E+13,29678
VD,2.02109E+13,29730
VD,2.02109E+13,29789
VD,2.02109E+13,30064
VD,2.02109E+13,30123
VD,2.02109E+13,30231
VD,2.02109E+13,30320
VD,2.02109E+13,30321
VD,2.02109E+13,30300
VD,2.02109E+13,30509
VD,2.02109E+13,30470
VD,2.02109E+13,30511
VD,2.02109E+13,30591
VD,2.02109E+13,30617
VD,2.02109E+13,30663
VD,2.02109E+13,30890
VD,2.02109E+13,31040
VD,2.02109E+13,31147
VD,2.02109E+13,31162
VD,2.02109E+13,31205
VD,2.02109E+13,31148
VD,2.02109E+13,31105
VD,2.02109E+13,31011
VD,2.02109E+13,30846
VD,2.02109E+13,30800
VD,2.02109E+13,30637
